component,smell_count
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/config/PlanetRuntimeConfig.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/pojos/PlanetGroup.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/tasks/PlanetTask.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/planet/util/rome/ContentModuleImpl.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/cache/ExpiringCacheEntry.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/cache/ExpiringLRUCacheImpl.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/util/cache/LazyExpiringCacheEntry.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomService.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/oauth/AccessTokenServlet.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/webservices/oauth/RequestTokenServlet.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/MediaResourceServlet.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/PreviewResourceServlet.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/TrackbackServlet.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/WeblogCommentRequest.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/WeblogEntryCommentForm.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/WeblogFeedRequest.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/WeblogTrackbackRequest.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/cache/SaltCache.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/cache/WeblogFeedCache.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/util/mobile/DeviceUtils.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/velocity/VelocityRenderer.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/MediaFilesPager.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/PlanetEntriesPager.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/WeblogEntriesDayPager.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/WeblogEntriesLatestPager.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/WeblogEntriesListPager.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/WeblogEntriesMonthPager.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/pagers/WeblogEntriesPager.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/plugins/comments/CommentAuthenticatorUtils.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/servlets/CommentAuthenticatorServlet.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/tags/calendar/BigWeblogCalendarModel.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/filters/RequestMappingFilter.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/CalendarModel.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/FeedModel.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/PageModel.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/rendering/model/UtilitiesModel.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/plugins/Summernote.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/plugins/TextEditor.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/security/AuthoritiesPopulator.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/security/RollerRememberMeAuthenticationProvider.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/security/RollerRememberMeServices.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/admin/CreateUserBean.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/ajax/CommentDataServlet.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogEntryComment.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogEntrySearchCriteria.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogEntryTagComparator.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogHitCount.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogTheme.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/RollerSession.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/core/filters/BootstrapFilter.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/ui/struts2/editor/CategoryBean.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/PingTarget.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/RollerPermission.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/StaticTemplate.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/TagStat.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/TagStatComparator.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/TaskLock.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/Template.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/Theme.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogBookmarkFolder.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogCategory.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/WeblogEntryAttribute.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/config/runtime/RuntimeConfigDefsParser.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/planet/ui/PlanetGroupSubs.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/planet/ui/PlanetGroups.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/planet/ui/PlanetUIAction.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/AutoPing.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/FileContent.java,1
aryanmishra777_roller:app/src/main/java/org/apache/roller/weblogger/pojos/MediaFileComparator.java,1
